event,ticker,time,price,value,reason,headline
EXIT_ATTEMPT_UNFILLED,KUST,2026-07-31T15:04:34.815458+00:00,1.3850,unfilled,"SET entry-volatility stop break (stop=$1.63, 4.6% off entry)",
ENTRY,YYAI,2026-08-03T08:20:43.594799+00:00,0.3163,qty=722,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=149.3%, RVOL=99.4x) + old bullish news (2026-07-27T12:13:08+00:00) + session-high break at $0.32"
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:01:30.162033+00:00,0.4200,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:01:55.779001+00:00,0.4299,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:02:20.672064+00:00,0.4203,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:02:45.790875+00:00,0.4149,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:03:11.166789+00:00,0.4127,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.97 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:03:35.997241+00:00,0.4179,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.78 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:04:00.951919+00:00,0.4287,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.53 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:04:26.227472+00:00,0.4268,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.54 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:20:12.702753+00:00,0.4521,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.66 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:20:37.889427+00:00,0.4436,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.69 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:21:03.340633+00:00,0.4499,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.69 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:21:28.429556+00:00,0.4477,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.60 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:21:53.555862+00:00,0.4461,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.61 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:22:39.504413+00:00,0.4332,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.50 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:23:04.451326+00:00,0.4315,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.56 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:24:10.703200+00:00,0.4201,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:24:35.844534+00:00,0.4278,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T11:25:01.181027+00:00,0.4297,unfilled,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T12:32:04.104465+00:00,0.3660,unfilled,"Bearish OBV/price swing divergence (secondary exit, armed)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T12:32:31.414070+00:00,0.3622,unfilled,"Bearish OBV/price swing divergence (secondary exit, armed)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T12:32:56.726656+00:00,0.3590,unfilled,"Bearish OBV/price swing divergence (secondary exit, armed)",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:15:13.713125+00:00,0.2468,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:15:41.820395+00:00,0.2444,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:16:08.192032+00:00,0.2411,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:32:07.858056+00:00,0.1608,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:32:35.313344+00:00,0.1729,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:33:01.452575+00:00,0.1790,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:33:28.570544+00:00,0.1800,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:33:59.487954+00:00,0.1785,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:49:08.538296+00:00,0.1639,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:49:35.844591+00:00,0.1601,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:50:04.142115+00:00,0.1504,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T13:59:55.805172+00:00,0.1489,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:00:23.303402+00:00,0.1500,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:00:51.122761+00:00,0.1550,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:05:02.620631+00:00,0.1505,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:05:29.473153+00:00,0.1525,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:05:56.811927+00:00,0.1523,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:07:36.447820+00:00,0.1491,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:08:04.179091+00:00,0.1481,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:08:32.384770+00:00,0.1499,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:16:58.753411+00:00,0.1498,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:17:25.970537+00:00,0.1472,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:17:54.225205+00:00,0.1472,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:33:30.750489+00:00,0.1498,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:33:57.536183+00:00,0.1494,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:34:24.234767+00:00,0.1496,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:34:50.754315+00:00,0.1494,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:35:17.814660+00:00,0.1483,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:52:19.336615+00:00,0.1482,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:52:48.627317+00:00,0.1474,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T14:53:15.182179+00:00,0.1473,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:00:55.935187+00:00,0.1477,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:01:22.729634+00:00,0.1489,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:01:49.697693+00:00,0.1473,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:02:18.264229+00:00,0.1468,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:02:46.015582+00:00,0.1455,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:03:12.508050+00:00,0.1455,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:03:38.337382+00:00,0.1460,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:12:55.102434+00:00,0.1388,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:13:22.561932+00:00,0.1395,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:13:48.488219+00:00,0.1401,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:22:26.150412+00:00,0.1432,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:22:52.724745+00:00,0.1427,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:23:19.743258+00:00,0.1440,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:39:20.908451+00:00,0.1410,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:39:47.568862+00:00,0.1410,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:40:13.896787+00:00,0.1405,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:56:30.441906+00:00,0.1448,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:56:57.963065+00:00,0.1444,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:57:25.585938+00:00,0.1438,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
EXIT_ATTEMPT_UNFILLED,YYAI,2026-08-03T15:57:54.280737+00:00,0.1431,unfilled,"SET entry-volatility stop break (stop=$0.28, 10.0% off entry [10% cap])",
ENTRY_ATTEMPT_UNFILLED,DXST,2026-08-04T08:09:50.843189+00:00,3.3300,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=29.2%, RVOL=17.9x) + old bullish news (2026-07-30T13:31:47+00:00) + session-high break at $3.07"
ENTRY_ATTEMPT_UNFILLED,DXST,2026-08-04T08:10:26.810595+00:00,3.2700,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=29.2%, RVOL=17.9x) + old bullish news (2026-07-30T13:31:47+00:00) + session-high break at $3.15"
ENTRY_ATTEMPT_UNFILLED,DXST,2026-08-04T08:11:28.866990+00:00,3.5600,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=32.7%, RVOL=13.8x) + old bullish news (2026-07-30T13:31:47+00:00) + session-high break at $3.20"
ENTRY_ATTEMPT_UNFILLED,DXST,2026-08-04T08:11:45.510588+00:00,3.5900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=32.7%, RVOL=13.8x) + old bullish news (2026-07-30T13:31:47+00:00) + session-high break at $3.41"
ENTRY_ATTEMPT_UNFILLED,ELPW,2026-08-04T08:13:45.832327+00:00,0.2200,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=78.2%, RVOL=314.1x) + old bullish news (2026-07-22T19:25:15+00:00) + session-high break at $0.20"
ENTRY_ATTEMPT_UNFILLED,ELPW,2026-08-04T08:13:57.572831+00:00,0.2100,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=78.2%, RVOL=314.1x) + old bullish news (2026-07-22T19:25:15+00:00) + session-high break at $0.20"
ENTRY_ATTEMPT_UNFILLED,ELPW,2026-08-04T08:14:30.353487+00:00,0.2200,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=78.2%, RVOL=314.1x) + old bullish news (2026-07-22T19:25:15+00:00) + session-high break at $0.21"
ENTRY_ATTEMPT_UNFILLED,DXST,2026-08-04T08:34:11.565935+00:00,3.6200,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=39.8%, RVOL=1744.3x) + old bullish news (2026-07-30T13:31:47+00:00) + session-high break at $3.53"
ENTRY,AMIX,2026-08-04T14:18:27.910292+00:00,6.3244,qty=20,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=68.2%, RVOL=7.5x) + old bullish news (2026-08-04T12:17:36+00:00) + session-high break at $6.27"
EXIT,AMIX,2026-08-04T15:08:36.349971+00:00,6.5900,+4.20,"Bearish OBV/price swing divergence (secondary exit, armed)",
ENTRY,BJDX,2026-08-04T23:24:50.726465+00:00,1.4750,qty=57,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=28.3%, RVOL=43.8x) + old bullish news (2026-07-21T10:35:57+00:00) + session-high break at $1.44"
EXIT,BJDX,2026-08-05T11:04:31.396241+00:00,1.3320,-9.69,"SET entry-volatility stop break (stop=$1.37, 7.1% off entry)",
ENTRY,DBGI,2026-08-05T13:02:42.240375+00:00,36.4776,qty=2,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=70.1%, RVOL=2787.3x) + old bullish news (2026-08-05T12:19:46+00:00) + session-high break at $37.00"
ENTRY_ATTEMPT_UNFILLED,ZJYL,2026-08-05T13:03:28.934833+00:00,2.1800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=15.1%, RVOL=4301.0x) + old bullish news (2026-08-05T04:18:51+00:00) + session-high break at $2.13"
EXIT,DBGI,2026-08-05T13:04:27.316369+00:00,33.4430,-8.32,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
ENTRY,BJDX,2026-08-05T13:10:37.887205+00:00,1.4380,qty=18,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=40.0%, RVOL=490.6x) + old bullish news (2026-07-21T10:35:57+00:00) + session-high break at $1.44"
EXIT,BJDX,2026-08-05T13:31:17.824134+00:00,1.4367,-0.09,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.65 <= -0.5)",
